province_code,station_code,azimuth,district_name,province_name,cell_code,x_,y_
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,340.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254290.29jhjhdks0804581080.0,22.20452,105.92872
TNN,f7489dcbadfc08895c1e63f268c0612e846f68c992a0ca3645cde62e60ae48c9,80.0,Xã Trần Phú,Tỉnh Thái Nguyên,abcxy3254293.22jhjhdks0804581080.0,22.1727,106.11126
TNN,f7489dcbadfc08895c1e63f268c0612e846f68c992a0ca3645cde62e60ae48c9,260.0,Xã Trần Phú,Tỉnh Thái Nguyên,abcxy3254296.15jhjhdks0804581090.0,22.1727,106.11126
TNN,f7489dcbadfc08895c1e63f268c0612e846f68c992a0ca3645cde62e60ae48c9,260.0,Xã Trần Phú,Tỉnh Thái Nguyên,abcxy3254299.08jhjhdks0804581090.0,22.1727,106.11126
TNN,f7489dcbadfc08895c1e63f268c0612e846f68c992a0ca3645cde62e60ae48c9,50.0,Xã Trần Phú,Tỉnh Thái Nguyên,abcxy3254302.01jhjhdks0804581090.0,22.1727,106.11126
TNN,f7489dcbadfc08895c1e63f268c0612e846f68c992a0ca3645cde62e60ae48c9,160.0,Xã Trần Phú,Tỉnh Thái Nguyên,abcxy3254304.94jhjhdks0804581100.0,22.1727,106.11126
TNN,0f5798f5ba11fb688be0dd1aba926cfa5c3b6fb4e0daf3ccbbe51ae2c3449d68,80.0,Xã Xuân Dương,Tỉnh Thái Nguyên,abcxy3254307.86jhjhdks0804581100.0,21.98621,106.04195
TNN,0f5798f5ba11fb688be0dd1aba926cfa5c3b6fb4e0daf3ccbbe51ae2c3449d68,280.0,Xã Xuân Dương,Tỉnh Thái Nguyên,abcxy3254310.79jhjhdks0804581110.0,21.98621,106.04195
TNN,0f5798f5ba11fb688be0dd1aba926cfa5c3b6fb4e0daf3ccbbe51ae2c3449d68,340.0,Xã Xuân Dương,Tỉnh Thái Nguyên,abcxy3254313.72jhjhdks0804581110.0,21.98621,106.04195
TNN,0f5798f5ba11fb688be0dd1aba926cfa5c3b6fb4e0daf3ccbbe51ae2c3449d68,20.0,Xã Xuân Dương,Tỉnh Thái Nguyên,abcxy3254316.65jhjhdks0804581110.0,21.98621,106.04195
TNN,0f5798f5ba11fb688be0dd1aba926cfa5c3b6fb4e0daf3ccbbe51ae2c3449d68,220.0,Xã Xuân Dương,Tỉnh Thái Nguyên,abcxy3254319.58jhjhdks0804581120.0,21.98621,106.04195
TNN,0f5798f5ba11fb688be0dd1aba926cfa5c3b6fb4e0daf3ccbbe51ae2c3449d68,320.0,Xã Xuân Dương,Tỉnh Thái Nguyên,abcxy3254322.51jhjhdks0804581120.0,21.98621,106.04195
TNN,db0a9209b766f2dbd6c11eecfbc47d4fd20e82646400c13002151c0775e8f82f,80.0,Xã Yên Thịnh,Tỉnh Thái Nguyên,abcxy3254325.44jhjhdks0804581130.0,22.22521,105.5352
TNN,db0a9209b766f2dbd6c11eecfbc47d4fd20e82646400c13002151c0775e8f82f,220.0,Xã Yên Thịnh,Tỉnh Thái Nguyên,abcxy3254328.37jhjhdks0804581130.0,22.22521,105.5352
